Series_ID,Series_Name,Year,Period,Label,Value
LNU04034211,Real Estate,2018,M07,2018 Jul,2.8
LNU04034211,Real Estate,2018,M08,2018 Aug,3
LNU04034211,Real Estate,2018,M09,2018 Sep,2.9
LNU04034211,Real Estate,2018,M10,2018 Oct,2.2
LNU04034211,Real Estate,2018,M11,2018 Nov,2.4
LNU04034211,Real Estate,2018,M12,2018 Dec,3.5
LNU04034211,Real Estate,2019,M01,2019 Jan,2.9
LNU04034211,Real Estate,2019,M02,2019 Feb,2.8
LNU04034211,Real Estate,2019,M03,2019 Mar,2.7
LNU04034211,Real Estate,2019,M04,2019 Apr,1.4
LNU04034211,Real Estate,2019,M05,2019 May,1.6
LNU04034211,Real Estate,2019,M06,2019 Jun,2.1
LNU04034211,Real Estate,2019,M07,2019 Jul,2.3
LNU04034211,Real Estate,2019,M08,2019 Aug,2.3
LNU04034211,Real Estate,2019,M09,2019 Sep,2.4
LNU04034211,Real Estate,2019,M10,2019 Oct,3
LNU04034211,Real Estate,2019,M11,2019 Nov,2
LNU04034211,Real Estate,2019,M12,2019 Dec,3.4
LNU04034211,Real Estate,2020,M01,2020 Jan,3.7
LNU04034211,Real Estate,2020,M02,2020 Feb,2.4
LNU04034211,Real Estate,2020,M03,2020 Mar,3.3
LNU04034211,Real Estate,2020,M04,2020 Apr,7.7
LNU04034211,Real Estate,2020,M05,2020 May,8.9
LNU04034211,Real Estate,2020,M06,2020 Jun,7.4
LNU04034211,Real Estate,2020,M07,2020 Jul,6.6
LNU04034211,Real Estate,2020,M08,2020 Aug,5.7
LNU04034211,Real Estate,2020,M09,2020 Sep,6.3
LNU04034211,Real Estate,2020,M10,2020 Oct,5.8
LNU04034211,Real Estate,2020,M11,2020 Nov,6.1
LNU04034211,Real Estate,2020,M12,2020 Dec,4
LNU04034211,Real Estate,2021,M01,2021 Jan,4.7
LNU04034211,Real Estate,2021,M02,2021 Feb,5.1
LNU04034211,Real Estate,2021,M03,2021 Mar,4.4
LNU04034211,Real Estate,2021,M04,2021 Apr,4.6
LNU04034211,Real Estate,2021,M05,2021 May,4.1
LNU04034211,Real Estate,2021,M06,2021 Jun,4.7
LNU04032242,Other Services Industry,2018,M01,2018 Jan,4.4
LNU04032242,Other Services Industry,2018,M02,2018 Feb,3.4
LNU04032242,Other Services Industry,2018,M03,2018 Mar,3.6
LNU04032242,Other Services Industry,2018,M04,2018 Apr,3.1
LNU04032242,Other Services Industry,2018,M05,2018 May,2.5
LNU04032242,Other Services Industry,2018,M06,2018 Jun,3.9
LNU04032242,Other Services Industry,2018,M07,2018 Jul,3.5
LNU04032242,Other Services Industry,2018,M08,2018 Aug,3.2
LNU04032242,Other Services Industry,2018,M09,2018 Sep,3.3
LNU04032242,Other Services Industry,2018,M10,2018 Oct,3
LNU04032242,Other Services Industry,2018,M11,2018 Nov,3.3
LNU04032242,Other Services Industry,2018,M12,2018 Dec,3
LNU04032242,Other Services Industry,2019,M01,2019 Jan,3.9
LNU04032242,Other Services Industry,2019,M02,2019 Feb,3.2
LNU04032242,Other Services Industry,2019,M03,2019 Mar,3.4
LNU04032242,Other Services Industry,2019,M04,2019 Apr,2.5
LNU04032242,Other Services Industry,2019,M05,2019 May,2.9
LNU04032242,Other Services Industry,2019,M06,2019 Jun,3
LNU04032242,Other Services Industry,2019,M07,2019 Jul,3.4
LNU04032242,Other Services Industry,2019,M08,2019 Aug,3.8
LNU04032242,Other Services Industry,2019,M09,2019 Sep,3.2
LNU04032242,Other Services Industry,2019,M10,2019 Oct,2.9
LNU04032242,Other Services Industry,2019,M11,2019 Nov,3.1
LNU04032242,Other Services Industry,2019,M12,2019 Dec,3.2
LNU04032242,Other Services Industry,2020,M01,2020 Jan,3.7
LNU04032242,Other Services Industry,2020,M02,2020 Feb,2.8
LNU04032242,Other Services Industry,2020,M03,2020 Mar,3.9
LNU04032242,Other Services Industry,2020,M04,2020 Apr,23
LNU04032242,Other Services Industry,2020,M05,2020 May,18.4
LNU04032242,Other Services Industry,2020,M06,2020 Jun,14.5
LNU04032242,Other Services Industry,2020,M07,2020 Jul,10.6
LNU04032242,Other Services Industry,2020,M08,2020 Aug,9.1
LNU04032242,Other Services Industry,2020,M09,2020 Sep,9.2
LNU04032242,Other Services Industry,2020,M10,2020 Oct,8.3
LNU04032242,Other Services Industry,2020,M11,2020 Nov,8.1
LNU04032242,Other Services Industry,2020,M12,2020 Dec,7.4
LNU04032242,Other Services Industry,2021,M01,2021 Jan,8.8
LNU04032242,Other Services Industry,2021,M02,2021 Feb,7.7
LNU04032242,Other Services Industry,2021,M03,2021 Mar,6.7
LNU04032242,Other Services Industry,2021,M04,2021 Apr,6.2
LNU04032242,Other Services Industry,2021,M05,2021 May,5.3
LNU04032242,Other Services Industry,2021,M06,2021 Jun,5.4
LNU04032239,Professional and Business Services,2018,M01,2018 Jan,5
LNU04032239,Professional and Business Services,2018,M02,2018 Feb,4.8
LNU04032239,Professional and Business Services,2018,M03,2018 Mar,4.2
LNU04032239,Professional and Business Services,2018,M04,2018 Apr,3.5
LNU04032239,Professional and Business Services,2018,M05,2018 May,4
LNU04032239,Professional and Business Services,2018,M06,2018 Jun,3.3
LNU04032239,Professional and Business Services,2018,M07,2018 Jul,3.6
LNU04032239,Professional and Business Services,2018,M08,2018 Aug,3.5
LNU04032239,Professional and Business Services,2018,M09,2018 Sep,3.2
LNU04032239,Professional and Business Services,2018,M10,2018 Oct,4
LNU04032239,Professional and Business Services,2018,M11,2018 Nov,3.6
LNU04032239,Professional and Business Services,2018,M12,2018 Dec,4.3
LNU04032239,Professional and Business Services,2019,M01,2019 Jan,4.9
LNU04032239,Professional and Business Services,2019,M02,2019 Feb,4.3
LNU04032239,Professional and Business Services,2019,M03,2019 Mar,3.9
LNU04032239,Professional and Business Services,2019,M04,2019 Apr,3.5
LNU04032239,Professional and Business Services,2019,M05,2019 May,3.4
LNU04032239,Professional and Business Services,2019,M06,2019 Jun,3.6
LNU04032239,Professional and Business Services,2019,M07,2019 Jul,3.4
LNU04032239,Professional and Business Services,2019,M08,2019 Aug,3.2
LNU04032239,Professional and Business Services,2019,M09,2019 Sep,3.2
LNU04032239,Professional and Business Services,2019,M10,2019 Oct,3.5
LNU04032239,Professional and Business Services,2019,M11,2019 Nov,3.6
LNU04032239,Professional and Business Services,2019,M12,2019 Dec,3.1
LNU04032239,Professional and Business Services,2020,M01,2020 Jan,4.1
LNU04032239,Professional and Business Services,2020,M02,2020 Feb,4.4
LNU04032239,Professional and Business Services,2020,M03,2020 Mar,4.7
LNU04032239,Professional and Business Services,2020,M04,2020 Apr,9.8
LNU04032239,Professional and Business Services,2020,M05,2020 May,9
LNU04032239,Professional and Business Services,2020,M06,2020 Jun,8.6
LNU04032239,Professional and Business Services,2020,M07,2020 Jul,7.6
LNU04032239,Professional and Business Services,2020,M08,2020 Aug,7.2
LNU04032239,Professional and Business Services,2020,M09,2020 Sep,6.7
LNU04032239,Professional and Business Services,2020,M10,2020 Oct,6.1
LNU04032239,Professional and Business Services,2020,M11,2020 Nov,5.9
LNU04032239,Professional and Business Services,2020,M12,2020 Dec,6.1
LNU04032239,Professional and Business Services,2021,M01,2021 Jan,6.8
LNU04032239,Professional and Business Services,2021,M02,2021 Feb,6.8
LNU04032239,Professional and Business Services,2021,M03,2021 Mar,6.7
LNU04032239,Professional and Business Services,2021,M04,2021 Apr,5.9
LNU04032239,Professional and Business Services,2021,M05,2021 May,5.4
LNU04032239,Professional and Business Services,2021,M06,2021 Jun,5.2
LNU04032236,Transportation and Utilities Industry,2018,M01,2018 Jan,3.5
LNU04032236,Transportation and Utilities Industry,2018,M02,2018 Feb,3.7
LNU04032236,Transportation and Utilities Industry,2018,M03,2018 Mar,3.6
LNU04032236,Transportation and Utilities Industry,2018,M04,2018 Apr,3
LNU04032236,Transportation and Utilities Industry,2018,M05,2018 May,3.2
LNU04032236,Transportation and Utilities Industry,2018,M06,2018 Jun,3.2
LNU04032236,Transportation and Utilities Industry,2018,M07,2018 Jul,3.6
LNU04032236,Transportation and Utilities Industry,2018,M08,2018 Aug,3.4
LNU04032236,Transportation and Utilities Industry,2018,M09,2018 Sep,2.6
LNU04032236,Transportation and Utilities Industry,2018,M10,2018 Oct,3.1
LNU04032236,Transportation and Utilities Industry,2018,M11,2018 Nov,3.7
